Hshd_num,last_purchase_date,first_purchase_date,purchase_count,total_spend,total_units,avg_basket_value,unique_products,store_region,tenure,tenure_safe,purchase_frequency,recency,spend_per_day,spend_per_visit,product_diversity,dept_food,dept_non-food,dept_pharma,Loyalty_flag,Age_range,Marital_status,Income_range,Homeowner_desc,Hshd_composition,Hshd_size,Children,future_spend,annual_clv,blended_monthly_spend,clv_12_month,predicted_clv,clv_tier
4439,2020-05-11,2018-08-19,144,9825.45,3101,68.23229166666667,737,EAST,631,631,6.846275752773375,6,15.57123613312203,68.23229166666667,0.23766526926797807,9503.03,316.42,6.0,Y,35-44,Single,100-150K,Homeowner,Single Male,1.0,,1457.6200000000001,5830.4800000000005,467.13708399366084,5605.64500792393,5618.322289449335,Gold
4453,2020-05-13,2018-08-17,338,6914.47,2769,20.457011834319523,1392,SOUTH,635,635,15.968503937007872,4,10.888929133858268,20.457011834319527,0.5027085590465872,5525.38,1299.13,89.96000000000001,N,75+,Married,50-74K,Homeowner,2 Adults and Kids,5.0,3.0,1073.69,4294.76,326.667874015748,3920.014488188976,3957.670636982287,Silver
4457,2020-05-10,2018-08-19,319,6149.53,2268,19.27752351097179,976,SOUTH,630,630,15.19047619047619,7,9.76115873015873,19.277523510971786,0.43033509700176364,4548.96,1287.8600000000001,312.71,N,45-54,Single,75-99K,Homeowner,1 Adult and Kids,2.0,1.0,1101.73,4406.92,292.8347619047619,3514.0171428571425,3491.7029517038673,Silver
4458,2020-04-30,2018-08-17,130,17414.32,4997,133.9563076923077,1716,SOUTH,622,622,6.270096463022508,17,27.997299035369775,133.9563076923077,0.3434060436261757,12987.26,4326.6900000000005,100.37,N,45-54,Married,150K+,Homeowner,2 Adults and Kids,5.0,3.0,1914.32,7657.28,839.9189710610932,10079.027652733119,10198.36191682547,Platinum
4498,2020-05-16,2018-08-17,220,4494.33,1641,20.428772727272726,732,WEST,638,638,10.344827586206897,1,7.044404388714733,20.428772727272726,0.4460694698354662,4336.07,107.62,50.64,N,25-34,Single,50-74K,Homeowner,Single Female,1.0,,614.12,2456.48,211.33213166144202,2535.9855799373045,2530.6244763752447,Silver
4506,2020-05-10,2018-08-25,103,7067.08,1967,68.61242718446603,608,SOUTH,624,624,4.951923076923077,7,11.325448717948717,68.61242718446601,0.3091001525165226,5607.24,1402.98,56.86000000000001,Y,45-54,Married,150K+,Homeowner,2 Adults and Kids,4.0,2.0,505.62,2022.48,339.7634615384615,4077.161538461538,4035.090281369834,Gold
4552,2019-01-06,2018-08-28,17,299.11,92,17.59470588235294,72,EAST,131,131,3.893129770992367,497,2.283282442748092,17.59470588235294,0.782608695652174,144.81,154.3,0.0,Y,,,,,,,,0.0,0.0,24.58438356164384,295.01260273972605,391.58338758356695,Bronze
4568,2020-05-16,2018-08-24,135,7653.74,1406,56.69437037037037,519,EAST,631,631,6.418383518225039,1,12.129540412044374,56.69437037037037,0.3691322901849218,4269.46,2622.77,761.51,Y,,,,,,,,694.07,2776.28,363.88621236133116,4366.634548335974,4358.202278076238,Gold
4570,2019-02-06,2019-02-06,1,6.98,2,6.98,2,EAST,0,1,30.0,466,6.98,6.98,1.0,3.69,3.29,0.0,Y,,,,,,,,0.0,0.0,0.5736986301369863,6.884383561643835,14.02695401503708,Bronze
4587,2019-07-24,2018-09-05,18,871.29,244,48.405,191,EAST,322,322,1.6770186335403727,298,2.705869565217391,48.405,0.7827868852459017,691.01,172.99,7.29,N,75+,Single,UNDER 35K,Homeowner,Single Female,1.0,,0.0,0.0,71.61287671232877,859.3545205479452,703.7507101529031,Bronze
