product1_num,product1_dept,product1_comm,product2_num,product2_dept,product2_comm,co_occurrence_count
5107274,FOOD,DAIRY,5107276,FOOD,DAIRY,114
5107274,FOOD,DAIRY,5107273,FOOD,DAIRY,102
8478,FOOD,PRODUCE,8436,FOOD,PRODUCE,113
8478,FOOD,PRODUCE,8473,FOOD,PRODUCE,100
74266,FOOD,MEAT - CHICKEN,8436,FOOD,PRODUCE,113
101328,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,109
1091190,FOOD,BEVERAGE - NON WATER,761845,FOOD,BEVERAGE - NON WATER,109
84767,FOOD,DAIRY,8436,FOOD,PRODUCE,106
8495,FOOD,PRODUCE,8487,FOOD,PRODUCE,106
8495,FOOD,PRODUCE,2267712,FOOD,PRODUCE,99
98933,NON-FOOD,HOUSEHOLD,8436,FOOD,PRODUCE,106
5107301,FOOD,MEAT - BEEF,84775,FOOD,DAIRY,106
750108,FOOD,BAKERY,84775,FOOD,DAIRY,105
8485,FOOD,PRODUCE,8436,FOOD,PRODUCE,104
392729,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,104
87931,FOOD,DAIRY,84775,FOOD,DAIRY,103
85894,FOOD,BEVERAGE - WATER,84775,FOOD,DAIRY,103
959525,FOOD,BAKERY,3781030,FOOD,PRODUCE,103
99547,FOOD,BAKERY,99552,FOOD,BAKERY,102
99552,FOOD,BAKERY,99547,FOOD,BAKERY,102
84812,FOOD,DAIRY,2267712,FOOD,PRODUCE,101
788161,FOOD,BEVERAGE - NON WATER,788162,FOOD,BEVERAGE - NON WATER,101
788162,FOOD,BEVERAGE - NON WATER,788161,FOOD,BEVERAGE - NON WATER,101
5982766,FOOD,DAIRY,84882,FOOD,DAIRY,101
277417,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,101
377760,NON-FOOD,TOBACCO PRODUCTS,761846,FOOD,BEVERAGE - NON WATER,101
761846,FOOD,BEVERAGE - NON WATER,377760,NON-FOOD,TOBACCO PRODUCTS,101
3740398,FOOD,FROZEN FOOD,97163,FOOD,FROZEN FOOD,100
97163,FOOD,FROZEN FOOD,3740398,FOOD,FROZEN FOOD,100
9057,FOOD,PRODUCE,8436,FOOD,PRODUCE,100
5785105,FOOD,GROCERY STAPLE,9087,FOOD,PRODUCE,100
5469564,FOOD,DAIRY,84775,FOOD,DAIRY,99
